links,title,time,content,class
/2023/01/08/foreign-minister-hoekstra-summons-iranian-ambassador-executions,Foreign Minister Hoekstra summons Iranian ambassador over executions,8 January 2023 - 09:45,,Politics
/2023/01/08/many-people-still-looking-alleged-nazi-treasure-near-ommeren,Many people still looking for alleged Nazi treasure near Ommeren,8 January 2023 - 09:13,,PoliticsCultureWeird
/2023/01/08/train-traffic-zwolle-meppel-back-track-repairs,Train traffic between Zwolle and Meppel back on track after repairs,8 January 2023 - 08:30,,1-1-2Business
https://nltimes.nl/2023/01/07/voice-holland-scandal-reports-transgressive-behavior,After The Voice of Holland scandal more reports of transgressive behavior,7 January 2023 - 17:00,,CrimeCultureEntertainment
https://nltimes.nl/2023/01/07/dutch-iranians-protest-hague-news-execution-iran,Dutch Iranians protest in The Hague after news of execution in Iran,7 January 2023 - 16:00,,Politics
https://nltimes.nl/2023/01/07/400-klm-passengers-stranded-singapore-can-return-home,400 KLM passengers stranded in Singapore can return home,7 January 2023 - 15:10,,Business
https://nltimes.nl/2023/01/07/netherlands-co-organizes-summit-london-war-crimes-ukraine,The Netherlands co-organizes summit in London on war crimes in Ukraine,7 January 2023 - 14:22,,Politics
https://nltimes.nl/2023/01/07/less-fireworks-damage-dutch-municipalities-last-year,Less fireworks damage in Dutch municipalities than last year,7 January 2023 - 13:30,,PoliticsCultureLifestyle
https://nltimes.nl/2023/01/07/seven-activists-arrested-occupying-utrecht-restaurant,Seven activists arrested for occupying Utrecht restaurant,7 January 2023 - 12:40,,CrimeCultureFood
https://nltimes.nl/2023/01/07/flevoland-tried-coordinate-buyout-farmers-schiphol,Flevoland tried to coordinate the buyout of farmers with Schiphol,7 January 2023 - 11:50,,PoliticsBusiness
https://nltimes.nl/2023/01/07/postnl-reports-settlement-two-unions-new-collective-bargaining-agreement,PostNL reports settlement with two unions on new collective bargaining agreement,7 January 2023 - 10:50,,Business
