links,title,time,content,class
https://nltimes.nl/2022/12/28/huge-part-wind-turbine-tower-blocks-highway-near-apeldoorn,Huge part of wind turbine tower blocks highway near Apeldoorn,28 December 2022 - 07:28,"A large piece of a wind turbine was blocking part of the junction between the A1 and the A50 near Apeldoorn on Wednesday morning. The tower pillar was being transported and came loose, a Rijkswaterstaat spokesperson said.The part of the wind turbine was being removed as of 7 a.m. That process will take until about noon, the infrastructure agency expected.The situation concerns the connecting road between the A50 to Arnhem and the A1 from Hengelo to Apeldoorn. Traffic can turn around at Voorst and at Apeldoorn-Zuid.Repair work must be carried out after salvaging the piece of the wind turbine. ""Given the low traffic volume, we do not expect too much traffic disruption"", Rijkswaterstaat said.",1-1-2
https://nltimes.nl/2022/12/27/new-brussels-amsterdam-berlin-night-train-launch-may-25,New Brussels-Amsterdam-Berlin night train to launch on May 25,27 December 2022 - 20:35,"The European Sleeper night train route connecting Brussels and Berlin, with stops in Amsterdam, The Hague and Rotterdam, will officially launch its passenger service on May 25. First announced at the end of 2021, the service was delayed by about a year.It was originally planned to be a longer route that includes Dresden and Prague. European Sleeper said it anticipates extending their service to those destinations by the end of 2023 or early 2024, the company said on its website. From the start, the train is also expected to stop in Amersfoort and Deventer in the Netherlands, and in Antwerp, Belgium and Hanover, Germany.Ticket sales will get underway on February 20 via the company's website. The Dutch-Belgian startup rail operator has advertised starting prices of 49 euros per seat, and 79 euros for a couchette, with breakfast included.The night trains between Brussels and Berlin will run three times per week at the start, the company said. The company hopes to make it a daily service.The service was delayed mainly because of the difficulties in securing train carriages, and the process of finalizing its timetable. The company said last month that it had hoped to obtain carriages in Russia, but the outbreak of the war in Ukraine made that impossible. Additionally, an extended period of track works is planned for the train line connecting Berlin and Prague. This has put limitations on European Sleeper's ability to run trains on that route due to capacity issues.",Business
https://nltimes.nl/2022/12/27/man-arrested-rotterdam-car-crash-suspected-driving-influence,Man arrested in Rotterdam car crash suspected of driving under the influence,27 December 2022 - 17:20,"The 28-year-old man from The Hague who was arrested after a fatal accident in Rotterdam on Monday is suspected of driving under the influence of alcohol. Three people were killed in the accident at an intersection on the Groene Kruisweg, where two cars are believed to have collided head-on.The victims were a 35-year-old woman from Spijkenisse, a 36-year-old man from Helmond and a 7-year-old girl from Spijkenisse. According to a police spokesperson, a blood test must still determine whether the suspect was under the influence of alcohol.The man was injured and taken to hospital after the accident and therefore a breathalyzer was not possible, according to a spokesperson. The driver was detained at the hospital.",Crime1-1-2
https://nltimes.nl/2022/12/27/rivm-number-coronovirus-infections-rising-new-wave-yet,"RIVM: Number of coronovirus infections is rising, no new wave yet",27 December 2022 - 16:30,"The number of people carrying the coronavirus is increasing. Last week, the number of positive tests increased by more than 14 percent. The National Institute of Public Health and the Environment (RIVM) has no clear explanation for this. The institute believes it is too early to tell if this is the beginning of a new wave of Covid-19, preferring to wait for the coming weeks.The RIVM registered 6,744 positive tests in the last seven days, compared to almost 5,900 a week earlier. It is the fastest increase in the number of confirmed infections since the beginning of October, exactly 11 weeks ago.Just before Christmas, the number of positive tests was even higher. Then the weekly total reached almost 7,400, an increase of 26.5 percent on a weekly basis. Last Wednesday, RIVM received nearly 1,400 reports of positive tests in one day, the highest number since early November.The numbers were based on people who have been tested at the official test locations of the GGDs. Self-tests at home were not included in this, so the actual number of infections could be higher.Theoretically, it could be that many people got tested before their Christmas visits and that the increase was due to that. However, other evidence ""suggests that the number of infections is actually increasing,"" according to the institute. For example, the number of virus particles in sewers increased by about 50 percent last week, and also by 50 percent the week before. The number of particles measured roughly tripled in recent weeks.The number of positive self-tests has also increased. On RIVM's Infection Radar platform, people could report when their home self-test indicated an infection, and that number has doubled in just a few weeks.The number of hospitalizations has not yet increased. Last week, 327 people ended up in a nursing unit or intensive care unit because of their Covid-19 symptoms, compared to more than 400 in the weeks before.",Health
https://nltimes.nl/2022/12/27/daley-blind-leaves-afc-ajax-terminates-contract,"Daley Blind leaves AFC Ajax, terminates contract",27 December 2022 - 15:40,"Footballer Daley Blind leaves AFC Ajax. The 32-year-old defender terminated his contract in Amsterdam, which ran until the end of this season. Blind played 333 games for Ajax, in which he scored 13 goals.""We have reached an agreement with Daley in recent days to terminate the current contract,"" said Ajax general manager Edwin van der Sar. ""I hope he will continue at another club to finish the last phase of his successful soccer career nicely.""Ajacied. Voor altijd.Bedankt voor alles, Daley! ❌❌❌There is speculation that the 99-time Oranje international could join Antwerp, the club of coach Mark van Bommel and technical director Marc Overmars, in Belgium.It was already announced on Monday that Danny Blind, Daley's father, will not return to the supervisory board of Ajax. Blind senior resigned from that position last year when he took up his post as assistant to national coach Louis van Gaal at Oranje. It was planned that Blind would return to the RVC after the World Cup, but he refrained from doing so.Blind junior lost his regular spot at Ajax this season under coach Alfred Schreuder. However, national coach Louis van Gaal continued to rely on the versatile left-back. Blind was in the starting eleven in all games at the World Cup in Qatar and scored a goal in the game against the United States in the round of 16 (3:1). The Netherlands lost to eventual world champions Argentina on penalties in the quarterfinals.The defender was trained at Ajax and made his first-team debut in late 2008. After a loan spell with FC Groningen in the 2009-2010 season, he won four consecutive league titles with Ajax. Blind moved to Manchester United in the summer of 2014, but returned to Amsterdam four years later. In his second tenure at Ajax, the defender became champion three times and won the KNVB Cup twice. Blind was an important link in the team that nearly reached the Champions League final in 2019.After the departure of coach Erik ten Hag last summer and the arrival of Schreuder, Blind's position was slowly but surely questioned. Schreuder preferred Owen Wijndal at left-back in the final weeks of the first half of the season.""We have agreed with Daley that we will decide together in which game he can say goodbye to the fans in the arena in a nice way,"" van der Sar said.",Sports
https://nltimes.nl/2022/12/27/far-illegal-fireworks-purchased-year-much-powerful-police-union,"Far more illegal fireworks purchased this year, and much more powerful: Police Union",27 December 2022 - 14:45,"A larger quantity of illegal fireworks were purchased this year than in other years, and the fireworks are definitely powerful, said the Nederlandse Politiebond, the largest labor union for police personnel. Jan Struijs, the union’s chair, said he was concerned about the upcoming New Year’s Eve period, saying that while he hopes it will be a truly festive occasion, ""it can just turn into a battle."" The union, which represents about 28,000 police officers, is ""seriously concerned"" about the upcoming weekend.For the first time in two years, New Year's Eve can be celebrated more lavishly without coronavirus restrictions. Although fireworks are prohibited from use in some municipalities, ""the policy is very variable,"" said Struijs. This can have a ripple effect, of sorts. “We are holding our breath. Every time we see that the turn of the year can also be an outlet [for frustration]. It only takes something to happen before people turn against the police.""The national unit of the police already reported that if the use of fireworks this New Year’s leads to ""much injury, misery and damage,"" then the police will continue to press for a national fireworks ban. ""We will campaign hard for this politically,"" said Peije de Meij, New Year's Eve coordinator at the police. De Meij therefore sees this New Year’s period as ""the ultimate test.""Maarten Brink, the chair of the ACP police union, said he shares the police's concerns about ""illegal explosives that are set off. Also called ‘fireworks,’"" he tweeted.For the past two years, there has been a general ban on fireworks due to the coronavirus and various restrictions. This led to fewer arrests and incidents compared to previous years. In the run-up to the turn of the new year, the police are paying extra attention to serious illegal fireworks. This year, for example, more than 600,000 kilograms of illegal fireworks destined for the Dutch market have been seized.""A lot was demanded of police officers"" in the past year and the recovery time was ""much too short,"" Struijs said. ""The past year has been tense, with a lot of heavy fireworks in the last two months. This year there is a very tough long final sprint."" Struijs said he has not yet received any signals that officers will refuse services on New Year's Eve because of fear of the turn of the year. ""Partners and children of officers are concerned. That is an ongoing concern.""This year, the police have ""topped up to the maximum"" in terms of staffing. The union did not specify absolute numbers, ""otherwise people know where they should and shouldn't be."" He added, ""The last thing that should be done is to underestimate New Year’s,"" and pledged that would not happen this year.",Crime
https://nltimes.nl/2022/12/27/a12-near-zoetermeer-closed-days-due-replacement-parts-mandela-bridge,A12 near Zoetermeer closed for days due to replacement of parts of Mandela Bridge,27 December 2022 - 13:20,"The A12 near Zoetermeer will be closed in both directions from 10 p.m. on Tuesday evening until 08:00 a.m. on Saturday morning, December 31. The section of the Nelson Mandela Bridge that crosses the A12 will be replaced by a temporary bridge section. Road users should expect delays. According to Rijkswaterstaat, there will be considerable inconvenience. ""Road users must follow a detour and take into account 30 to 45 minutes of extra travel time. At busy times, the additional travel time can be up to 1.5 hours,"" the service reported.Traffic from The Hague will be diverted via Leiden or Rotterdam. Furthermore, traffic from Gouda and Utrecht will be diverted via Leiden or, from the Gouwe junction, via Rotterdam. At the beginning of December, the bridge over the A12 in Zoetermeer was hastily closed due to a possible risk of collapse. This was prompted by two investigations into cracks in the structure. The Mandela Bridge is an important link for the city of Zoetermeer and the only way to reach Zoetermeer station, among other places. In addition to the A12, a rail line and the RandstadRail also pass under the bridge.It should be possible to use the bridge again on January 15.",Politics
https://nltimes.nl/2022/12/27/police-want-fireworks-ban-new-year-celebrations-get-restless,Police want fireworks ban if New Year celebrations get restless,27 December 2022 - 12:30,"The police announced that it will continue to push for a nationwide fireworks ban if setting off fireworks this New Year leads to ""much injury, misery, and damage."" According to Peije de Meij, New Year's Eve coordinator at the police department, the police will fight hard to get this passed in politics. De Meij therefore sees this New Year's Eve as the ""ultimate test.In the past two years, there was a total ban on fireworks because of Covid-19, which led to ewer arrests and incidents. ""As far as the police is concerned, if this decline continues, next New Year's Eve will be a success,"" the coordinator of the police said.In the run-up to New Year, the police paid specific attention to serious illegal fireworks. For instance, 600,000 kilos were recently seized that were destined for the Dutch market.Despite the shortage of personnel, the police stated they will mobilize enough people for New Year. When possible, drones will also be used to track rioters. However, there were concerns about the strength of the fireworks and the fact that they would be thrown at emergency personnel. ""We want everyone to get home safely after the service,"" De Meij said.",Politics
https://nltimes.nl/2022/12/27/15-year-old-suspect-killed-17-year-old-boy-arrested-amsterdam,15-year-old suspect who killed 17-year-old boy arrested in Amsterdam,27 December 2022 - 11:40,"A 15-year-old boy from Dordrecht was arrested on suspicion of involvement in the death of a 17-year-old boy, who was shot on Friday night at Haardstee in Amsterdam-Zuidoost.The first suspect, a 16-year-old from Amsterdam, was arrested on Sunday. The police is not yet giving details about the circumstances of the shooting. The two suspects are currently in custody.Shortly after the shooting, the police arrested two people. However, it later turned out that the alleged suspects had nothing to do with the incident. According to several media outlets, they were the victim's brother and a friend.",Crime
https://nltimes.nl/2022/12/27/municipalities-block-renewing-passports-people-outstanding-debts,Municipalities block renewing passports for people with outstanding debts ,27 December 2022 - 10:51,"Citizens who have high pending debts to their municipalities will not be able to renew their passports. However, Dutch municipalities handle debtors noted as ""lost"" differently. Some conduct this arbitrary measure often, others less frequently or never, reported the newspaper Trouw. The mandatory measure mainly affects people who have not repaid their high amount of social benefits to the municipality. In this process, the affected people are registered by government organizations in the passport warning register of the Ministry of Interior. As a result, the flagged people cannot continue to renew their passports at places that issue passports. The flagged citizens are divided into two groups in the warning register. he first group includes persons suspected of passport fraud, and the second group is composed of persons with outstanding debts of more than 5,000 euros, whose home address cannot be located. The last category includes about 4,000 out of 8,000 citizens recorded in the database in 2021, according to Trouw. However, the way Dutch municipalities deal with citizens whose debts are still outstanding varies. In Tilburg, for example, 66 debtors are affected by the arbitrary measure and will not have their passports renewed. However, this number is disproportionate to Amsterdam, which is four times larger, where only one person cannot renew his passport, wrote the Dutch newspaper. ",Politics
