links,title,time,content,class
/2023/01/08/foreign-minister-hoekstra-summons-iranian-ambassador-executions,Foreign Minister Hoekstra summons Iranian ambassador over executions,8 January 2023 - 09:45,,Politics
/2023/01/08/many-people-still-looking-alleged-nazi-treasure-near-ommeren,Many people still looking for alleged Nazi treasure near Ommeren,8 January 2023 - 09:13,,PoliticsCultureWeird
/2023/01/08/train-traffic-zwolle-meppel-back-track-repairs,Train traffic between Zwolle and Meppel back on track after repairs,8 January 2023 - 08:30,,1-1-2Business
https://nltimes.nl/2022/08/03/anti-abortion-activists-can-protest-outside-utrecht-clinic-court-rules,"Anti-abortion activists can protest outside Utrecht clinic, court rules",3 August 2022 - 12:50,,Health
https://nltimes.nl/2022/08/03/health-services-frantically-recruiting-people-administer-new-round-covid-vaccines,Health services frantically recruiting people to administer new round of Covid vaccines,3 August 2022 - 12:00,,Health
https://nltimes.nl/2022/08/03/four-five-dutch-distribution-centers-unsafe-inspectorate,Four in five Dutch distribution centers unsafe: Inspectorate,3 August 2022 - 11:10,,Business
https://nltimes.nl/2022/08/03/jeff-bezoss-eu430-million-super-yacht-now-rotterdam-monumental-bridges-dismantled,Jeff Bezos’s €430 million super yacht now in Rotterdam; No monumental bridges dismantled,3 August 2022 - 10:21,,Business
https://nltimes.nl/2022/08/03/dutch-companies-earning-millions-qatar-world-cup,Dutch companies earning millions from Qatar World Cup,3 August 2022 - 09:52,,Business
https://nltimes.nl/2022/08/03/terraced-house-common-home-netherlands,Terraced house the most common home in Netherlands,3 August 2022 - 09:15,,Business
https://nltimes.nl/2022/08/03/netherlands-falling-behind-lgbtqia-emancipation-ranked-13th-europe,Netherlands falling behind on LGBTQIA+ emancipation; Ranked 13th in Europe,3 August 2022 - 08:46,,Politics
https://nltimes.nl/2022/08/03/experts-meeting-discuss-looming-water-shortage-netherlands-report,Experts meeting to discuss looming water shortage in Netherlands: report,3 August 2022 - 08:10,,TechNature
